task_id	phase	start_date	end_date	owner_role	dependencies	action	execution_standard	deliverable	acceptance_standard	failure_action	status
T00	P0	2026-08-25	2026-08-27	模型开发	无	在已授权 RTX 5090 服务器建立同时满足 Python>=3.10 / Torch>=2.7 / CUDA 12.8+ / sm_120 的环境	锁定版本；核验 GPU 型号、compute capability、驱动与显存；CUDA 张量分配、前向、反向传播均通过；环境导出为可重建 lockfile	environment/requirements-cu128.lock; environment/ENV_SMOKE.json; environment/SERVER_RESOURCE.json	RTX 5090、compute capability>=12.0、Torch>=2.7、CUDA 可用且反向传播有限；lockfile 有 hash 并可一条命令重建	全局阻断；在解决前不排任何后续任务	IN_PROGRESS_REMOTE_ACCESS_PENDING
T01	P0	2026-08-26	2026-09-04	项目负责人	无	数据分支裁决：A 支=生物库个体级数据；B 支=1KGP+HGDP chr22 + 合成扩增	A 支需已批准的数据访问凭证；B 支需写明合成器与祖先样本，并接受 claim 上限	DATA_BRANCH_DECISION.md; PANEL_MANIFEST.tsv	分支已签字；对应 panel 的个体与位点清单落盘并 hash；磁盘占用在可用容量内	无分支不得进入 T05；不得以“先按 A 支写、拿不到再改”开工	NOT_STARTED
T02	P0	2026-09-07	2026-09-08	统计负责人	T01	登记并复核已冻结判据常数（各自独立命名，禁止全表字符串替换）	delta_min=0.010; delta_NI=0.010; delta_LD=0.010; overfit_thr=0.010; pc_control_thr=0.005；Delta=NLL_comparator-NLL_candidate，正数=candidate 更好；NI 检验 UCB(NLL_candidate-NLL_comparator)<delta_NI	DECISIONS.v7.0.1.tsv; METRIC_DEFINITIONS.md	每个常数有独立名字、数值、单位和适用行；数值不得根据 A1/A2/A3 结果调整	不得进入 T04	NOT_STARTED
T03	P0	2026-09-07	2026-09-09	计算负责人	T00;T01	在实际 RTX 5090 上做 profiler：单 cell 显存峰值、吞吐、端到端时长和磁盘占用	L=8192 与 32GB 显存允许的最大 L 各做一次 100-step profile；包含 CUDA synchronize、数据加载和 checkpoint；记录 OOM 边界；不得用旧 harness 或理论 FLOPs 外推	PROFILE_REPORT.json	给出每个候选 (模型,L) 的实测 GPU-小时与显存峰值；OOM 边界明确	缩小 L 或模型直至可测；无实测不得写算力预算	NOT_STARTED
T04	P0	2026-09-10	2026-09-11	计算负责人	T02;T03	由实测反推 Compute Contract 并确认容量	预算单位为 T03 实测 GPU-小时；5 data_seed x 2 init_seed；含 2 倍工程余量；计划需求不超过已签署 5090 GPU-小时和存储容量的 80%	COMPUTE_CONTRACT.md	A1 全量在已签容量内；GPU 数量、可用时段、并发上限和存储配额明确；A2/A3 未签署时标记 UNFUNDED	缩减 mask family 或 L 网格后重签；不得靠减 seed 或漏跑达标	NOT_STARTED
T05	V7-0	2026-09-14	2026-10-02	模型开发	T04	实现 harness：数据管线、五类 mask、三个模型、双公平口径、断点续跑和 GRID_SPEC 展开器	run 由 GRID_SPEC.v7.0.1.yaml 展开；run_id 重复、占位符残留或依赖缺失均报错；禁止 silent retry；resolver 只生成新的只读 resolved TSV	src/; GRID_SPEC.v7.0.1.yaml; RESOLVER.md	单元测试全绿；展开行数与计划一致；resolver 同时记录 source hash、verdict hash、展开与删除行清单、新 hash	延后 A0；不得带已知缺陷进入	NOT_STARTED
T06	A0	2026-10-05	2026-10-09	模型开发	T05	完整性审计：tiny-set 过拟合、mask 泄漏、allele 一致、断点确定性、全局 PC 溯源、梯度有限性、参数与 FLOP 计数一致、profiler/OOM 阻断	PC 由 genome-wide LD-pruned 训练个体拟合，验证/测试投影进入，建模 panel 位点不入 PC 拟合	A0_INTEGRITY_REPORT.json	三模型 tiny-set 训练 NLL<overfit_thr；泄漏探针<=chance+0.01；allele 一致率=1.000；断点参数差<1e-6；PC 溯源为真；无非有限梯度；各臂参数量与 FLOP 计数在 1% 内一致	全局阻断，任何模型比较作废	NOT_STARTED
T07	A1	2026-10-12	2026-11-06	模型开发	T06	chr22 headroom：random/contiguous 诊断；ld_block/within_long 确认；local/local+PC/Grassmann	random/contiguous 只做 matched-parameter；ld_block/within_long 做 matched-parameter 与 matched-compute；5 data_seed x 2 init_seed；先按 init 求均值，再按 data seed 配对推断	A1_CHR22_RESULTS.parquet; FIG1	所有计划 run 均有终态记录；失败 run 计入分母并列因；不得删除不利 seed；确认性 mask 两种公平口径完整	修复后重跑该 cell；不得删除不利 seed	NOT_STARTED
T08	A1	2026-10-12	2026-10-23	统计负责人	T06	建立参考线：四个 within-chrom mask 的 closed-form LD reference，以及 cross_chrom 的 ancestry-only reference	ancestry-only reference 不是 Bayes 上界，仅判断祖源信息后是否仍有可测增量；亲缘与远端 admixture LD 不在其覆盖内	A1_REFERENCE_LINES.json	closed-form LD 在 random/contiguous/ld_block/within_long 上可得；ancestry-only reference 在 cross_chrom 上可得并附局限说明	无参考线则跨染色体判据降级为描述性，不作裁决依据	NOT_STARTED
T09	A1	2026-11-09	2026-11-27	模型开发	T07;T08	双染色体 panel 的 cross-chrom headroom：chr1(密度匹配)+chr22	含 shuffled-PC 负对照；双口径；与 T07 同 harness 同 seed 规则	A1_CROSSCHROM_RESULTS.parquet; FIG2	shuffled-PC 负对照劣于真 PC 至少 pc_control_thr（否则 PC 臂无信息）	重建 PC 后重跑；A1 裁决暂停	NOT_STARTED
